,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,75.56536731,64.13476872,77.80075909,100.6157924,70.65418818,45.48452552,75.89921825,89.80290748,96.81164249,70.30545076,61.84516992,106.6840742,112.8088036,77.15949462,120.0795726,81.53164201,98.03693175,85.82228826,168.4091833,207.2791196,169.5818027,169.3033705,143.2582291,143.2161832,145.5069398,105.5270442,117.9917181,151.9883574,165.4118165,168.9184873,157.7553512,136.8610013,112.6852459,123.9161994,131.7520304,117.6234049,135.9260975,120.8634103,138.4652984,119.9864555,125.5655235,180.9259343,155.5939849,123.1631209,104.8585679,94.0280605,80.95562085,68.61334712,67.65582667
1,188.2732247,203.0582535,225.9103681,235.3279176,236.0207293,182.8335761,153.6489256,186.1017656,260.946547,218.9157206,163.5761633,211.2719145,232.8576405,199.8809807,223.3479284,241.0507631,199.2565201,243.7405011,254.5672718,325.2139843,365.2286374,305.2189961,288.2903751,284.3206289,293.8923696,406.0579734,260.3101459,287.3668774,324.5048232,307.870504,365.619426,350.1124824,354.0275828,235.8707118,280.2224083,316.1439699,361.5120504,314.4486652,312.2182186,376.7390403,350.5734973,392.91946,373.1958179,313.781753,193.7791199,199.439066,198.9733062,215.8896096,205.4153461
2,288.1814383,384.7926527,338.7090565,285.5863012,330.0342053,332.1889639,289.7417597,304.920682,307.8912078,317.3665046,331.9521712,321.6216697,276.0162702,307.0186835,362.1903808,375.9143497,280.8960373,335.8266711,341.184322,425.5439257,581.624425,488.05546,424.0326075,367.7008701,476.1779365,473.9639239,450.8680925,428.2524058,446.395807,514.8794108,420.9413288,440.392168,454.6331829,374.1868606,568.5762264,477.2834247,527.5164745,469.2115601,384.8679019,502.7006758,490.0844469,488.4494775,479.552394,488.6778122,410.3435101,238.0213952,256.408251,296.116322,260.3012832
3,403.669729,551.2263179,459.4437522,353.8066775,389.5052036,428.535244,452.7315331,450.419566,397.4636868,430.6887407,447.8323262,439.3610868,438.6040903,401.7391706,547.1043544,488.513592,406.8350632,446.3814951,439.5899698,536.9363716,660.9338123,584.6451501,528.991165,429.5090009,577.7381906,625.7183018,544.9124563,535.1970984,523.0455526,606.2315384,517.06258,599.0536882,576.3331877,529.7449269,742.1121924,578.0204489,630.6902913,537.0458973,589.3725977,557.2032933,605.7847981,614.0589464,550.3283519,611.8820024,574.1386852,436.4477819,304.7133735,327.6871626,348.8189033
4,531.6173498,811.221579,591.837134,443.3587382,483.673545,484.0588378,529.7273207,562.5818248,514.8565821,535.776327,544.3218715,627.5175161,582.7450662,475.1015034,655.8299744,740.7909662,572.1065567,643.735808,653.7091075,598.5948957,827.6476841,654.1165744,749.4906732,705.3708783,661.2510834,809.1424051,632.863136,641.990982,787.3324099,802.6631945,592.7710142,625.5237591,643.2811129,755.8833526,835.4477856,786.5905261,726.1651886,683.1174883,671.7977661,598.9535501,728.712249,701.2723068,627.4507465,672.3000388,693.0947218,637.0232766,540.1590493,348.9695674,398.5356485
5,654.6651314,1065.77924,736.8565226,610.6213318,698.5250027,567.1478069,682.5124725,667.7870742,600.5328966,647.7711768,674.8489104,732.093937,681.4298226,576.3512667,767.7572735,854.6941532,755.2564714,837.5102489,885.5520665,813.8408803,954.3817467,789.9065819,990.425497,943.0490534,895.6726098,908.1838827,742.8277339,699.1689487,879.315021,949.6459193,894.6051372,688.5281373,779.7139016,787.6157254,1010.699919,1002.159352,1012.713953,744.6032977,805.7850295,694.1071435,795.5874775,842.1745378,750.8752817,747.322011,656.4454415,624.4735634,628.978647,529.3027709,415.5308487
6,731.0470567,1241.73606,843.1521923,908.0131018,946.4564942,768.128498,917.44989,846.8419465,893.4003645,738.1414874,953.8800298,1067.321266,757.629578,645.4655978,992.9320586,942.9238468,947.3477999,1112.130963,1065.524448,1033.66574,1100.503798,956.94787,1114.409299,1115.196247,1115.983194,972.9957517,818.5289482,840.2486162,969.5176614,1098.786707,1030.520123,1078.020743,1125.521363,1078.020743,1086.685181,1088.70932,1121.809359,920.9393844,995.1539832,837.6120339,939.7536809,909.3839585,868.4151209,885.8400139,792.7810978,761.1794619,697.0215669,723.9604237,667.9018154
