1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,18.7,210.3,20,0.5,131.7,26.4,22.7,21,3.4,37.6,1614.7,16.4,182,1097.3,639.6,2931.5,115
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,2.2,6.9,7.9,46.1,17.2,3.2,19.9,1409.4,69,183.1,1261.4,385.1,5402.3,261.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,6.9,3.5,34.6,95.9,34.7,41.5,50.4,99,86.6,116.2,144.9,162.1,238.4,143.2,211.6,152.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.9,81.7,75,164.3,145.5,271.7,264.3,152.4,145.7,102.8,370.9,601.6,745.7
