,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,,,,,,,,,,,,,,,,,,,,,,,,9,10,7,45,41,15,10,18,17,9,8,16,15,22,
2,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,,,,,,,,,,,,,,,,,,,,,,,,9,8,7,26,5,7,5,4,6,3,4,1,3,1,
5,,,,,,,,,,,,,,,,,,,,,,,,33,40,28,22,21,14,20,26,15,12,13,16,14,17,
6,,,,,,,,,,,,,,,,,,,,,,,,292,252,151,125,88,405,95,141,82,211,68,101,64,90,
