1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
76,64,78,101,71,45,76,90,97,70,62,107,113,77,120,82,98,86,168,207,170,169,143,143,146,106,118,152,165,169,158,137,113,124,132,118,136,121,138,120,126,181,156,123,105,94,81,69,67
188,203,226,235,236,183,154,186,261,219,164,211,233,200,223,241,199,244,255,325,365,305,288,284,294,406,260,287,325,308,366,350,354,236,280,316,362,314,312,377,351,393,373,314,194,199,199,216,205
288,385,339,286,330,332,290,305,308,317,332,322,276,307,362,376,281,336,341,426,582,488,424,368,476,474,451,428,446,515,421,440,455,374,569,477,528,469,385,503,490,488,480,489,410,238,256,296,255
404,551,459,354,390,429,453,450,397,431,448,439,439,402,547,489,407,446,440,537,661,585,529,430,578,626,545,535,523,606,517,599,576,530,742,578,631,537,589,557,606,614,550,612,574,436,305,328,345
532,811,592,443,484,484,530,563,515,536,544,628,583,475,656,741,572,644,654,599,828,654,749,705,661,809,633,642,787,803,593,626,643,756,835,787,726,683,672,599,729,701,627,672,693,637,540,349,396
655,1066,737,611,699,567,683,668,601,648,675,732,681,576,768,855,755,838,886,814,954,790,990,943,896,908,743,699,879,950,895,689,780,788,1011,1002,1013,745,806,694,796,842,751,747,656,624,629,529,414
731,1242,843,908,946,768,917,847,893,738,954,1067,758,645,993,943,947,1112,1066,1034,1101,957,1114,1115,1116,973,819,840,970,1099,1031,1078,1126,1078,1087,1089,1122,921,995,838,940,909,868,886,793,761,697,724,671
