,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,170 ,211 ,204 ,70 ,420 ,317 ,108 ,140 ,466 ,750 ,375 ,867 ,558 ,556 ,672 ,489 ,320 ,335 ,398 ,847 ,249 ,274 ,387 ,257 ,218 ,313 ,429 ,110 ,109 ,248 ,84 ,164 ,98 ,66 ,123 ,166 ,119 ,0 
1,57 ,56 ,68 ,84 ,135 ,200 ,194 ,144 ,210 ,244 ,287 ,233 ,507 ,348 ,403 ,372 ,322 ,264 ,190 ,187 ,200 ,282 ,274 ,293 ,225 ,166 ,151 ,122 ,102 ,95 ,83 ,78 ,50 ,71 ,52 ,92 ,55 ,0 
2,7 ,16 ,10 ,16 ,20 ,18 ,35 ,50 ,32 ,31 ,51 ,30 ,35 ,47 ,53 ,56 ,44 ,21 ,71 ,45 ,47 ,43 ,40 ,29 ,32 ,50 ,45 ,24 ,30 ,21 ,23 ,34 ,36 ,19 ,17 ,26 ,26 ,0 
3,1 ,5 ,3 ,5 ,4 ,5 ,6 ,4 ,4 ,10 ,32 ,15 ,5 ,3 ,5 ,5 ,8 ,5 ,11 ,13 ,25 ,6 ,5 ,5 ,6 ,4 ,4 ,5 ,4 ,5 ,7 ,5 ,14 ,7 ,5 ,10 ,5 ,0 
