,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,41.4,33.2,32.6,43,46.2,40.5,54.1,48.7,38.7,33.6,37.5,30.6,35.6,
1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100.8,109.4,100.3,90.5,124.4,114.7,120.5,121.1,98.4,103.6,100.9,91.7,108,
2,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,205.2,187.5,195.5,228.3,217.6,219,232.6,226.4,235,247.6,237.1,241.4,244.7,
3,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,398.1,443.7,355.1,402.9,400,388.1,393.6,406.1,376.2,420.8,439.7,411.4,416.8,
