1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
834,334,29,93,351,1254,632,539,1039,208,199,266,123,250,549,378,183,72,67,34,29,53,297,96,128,362,1578,147,32,145,252,7,244,66,767,42,6,425,60,174,80,28,63,297,140,33,100,92,294
1202,815,1847,647,182,388,923,2083,1256,1919,472,184,324,284,544,398,1336,316,106,24,6,8,11,957,98,123,193,885,69,17,86,69,17,206,87,523,62,53,275,35,163,88,52,248,812,177,141,140,82
1037,888,681,1211,794,560,548,727,1468,1312,286,142,301,440,358,253,555,352,253,53,6,11,13,240,98,49,23,61,177,24,13,40,6,32,72,53,376,70,47,127,54,87,90,75,165,1401,236,265,245
365,288,242,548,994,618,446,472,641,645,419,149,160,225,208,190,276,170,253,71,11,8,12,39,28,28,20,13,13,41,11,5,6,7,11,32,25,157,44,24,37,21,66,77,65,128,1147,423,365
127,104,73,183,310,391,251,236,338,158,310,194,81,76,90,75,79,41,26,77,6,5,7,5,5,9,10,6,1,10,14,4,4,2,4,13,8,4,51,13,9,7,21,25,17,16,32,695,359
49,56,35,46,26,165,42,82,173,80,126,115,70,44,46,38,28,19,4,4,4,2,10,2,2,3,4,4,0,1,1,3,3,1,1,1,2,1,3,15,6,2,4,5,18,11,15,60,300
41,19,18,12,4,46,4,16,17,13,11,13,13,23,18,21,9,6,2,1,1,0,8,2,2,2,3,2,0,0,0,2,2,1,1,1,0,0,1,1,1,0,1,2,1,10,10,16,53
