,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,199.8742756,216.5964674,267.690569,218.6983899,165.5603227,249.248457,187.9006932,130.2869034,79.9196031,77.11111363
1,129.4617805,121.4152502,162.962634,158.6663332,154.1356722,95.75337082,144.1551909,91.39455631,62.34938101,36.7481019
2,72.37195259,71.29575291,82.08322417,85.4627954,98.07561453,76.98423059,47.82474735,61.08600229,39.04364033,26.22547914
3,26.55116556,32.79557473,38.99656224,33.76093208,40.75214202,36.6271926,28.75043154,15.40571831,20.81536439,13.74910913
